date,year,month,time,call,,,,date,
8,2023,1,10:00-10:15,24,,08/01/2023,10:00,44934,10:00:00
8,2023,1,10:15-10:30,30,,08/01/2023,10:15,44934,10:15:00
8,2023,1,10:30-10:45,44,,08/01/2023,10:30,44934,10:30:00
8,2023,1,10:45-11:00,50,,08/01/2023,10:45,44934,10:45:00
8,2023,1,11:00-11:15,36,,08/01/2023,11:00,44934,11:00:00
8,2023,1,11:15-11:30,46,,08/01/2023,11:15,44934,11:15:00
8,2023,1,11:30-11:45,49,,08/01/2023,11:30,44934,11:30:00
8,2023,1,11:45-12:00,59,,08/01/2023,11:45,44934,11:45:00
8,2023,1,12:00-12:15,49,,08/01/2023,12:00,44934,12:00:00
8,2023,1,12:15-12:30,44,,08/01/2023,12:15,44934,12:15:00
8,2023,1,12:30-12:45,60,,08/01/2023,12:30,44934,12:30:00
8,2023,1,12:45-13:00,46,,08/01/2023,12:45,44934,12:45:00
8,2023,1,13:00-13:15,52,,08/01/2023,13:00,44934,13:00:00
8,2023,1,13:15-13:30,60,,08/01/2023,13:15,44934,13:15:00
8,2023,1,13:30-13:45,45,,08/01/2023,13:30,44934,13:30:00
8,2023,1,13:45-14:00,47,,08/01/2023,13:45,44934,13:45:00
8,2023,1,14:00-14:15,44,,08/01/2023,14:00,44934,14:00:00
8,2023,1,14:15-14:30,45,,08/01/2023,14:15,44934,14:15:00
8,2023,1,14:30-14:45,32,,08/01/2023,14:30,44934,14:30:00
8,2023,1,14:45-15:00,43,,08/01/2023,14:45,44934,14:45:00
8,2023,1,15:00-15:15,45,,08/01/2023,15:00,44934,15:00:00
8,2023,1,15:15-15:30,48,,08/01/2023,15:15,44934,15:15:00
8,2023,1,15:30-15:45,46,,08/01/2023,15:30,44934,15:30:00
8,2023,1,15:45-16:00,34,,08/01/2023,15:45,44934,15:45:00
8,2023,1,16:00-16:15,27,,08/01/2023,16:00,44934,16:00:00
8,2023,1,16:15-16:30,30,,08/01/2023,16:15,44934,16:15:00
8,2023,1,16:30-16:45,40,,08/01/2023,16:30,44934,16:30:00
8,2023,1,16:45-17:00,37,,08/01/2023,16:45,44934,16:45:00
8,2023,1,17:00-17:15,0,,08/01/2023,17:00,44934,17:00:00
8,2023,1,17:15-17:30,0,,08/01/2023,17:15,44934,17:15:00
8,2023,1,17:30-17:45,0,,08/01/2023,17:30,44934,17:30:00
8,2023,1,17:45-18:00,0,,08/01/2023,17:45,44934,17:45:00
8,2023,1,18:00-18:15,0,,08/01/2023,18:00,44934,18:00:00
8,2023,1,18:15-18:30,0,,08/01/2023,18:15,44934,18:15:00
8,2023,1,18:30-18:45,0,,08/01/2023,18:30,44934,18:30:00
8,2023,1,18:45-19:00,0,,08/01/2023,18:45,44934,18:45:00
8,2023,1,19:00-19:15,0,,08/01/2023,19:00,44934,19:00:00
8,2023,1,19:15-19:30,0,,08/01/2023,19:15,44934,19:15:00
8,2023,1,19:30-19:45,0,,08/01/2023,19:30,44934,19:30:00
8,2023,1,19:45-20:00,0,,08/01/2023,19:45,44934,19:45:00
8,2023,1,20:00-20:15,0,,08/01/2023,20:00,44934,20:00:00
8,2023,1,20:15-20:30,0,,08/01/2023,20:15,44934,20:15:00
8,2023,1,20:30-20:45,0,,08/01/2023,20:30,44934,20:30:00
8,2023,1,20:45-21:00,0,,08/01/2023,20:45,44934,20:45:00
8,2023,1,21:00-21:15,0,,08/01/2023,21:00,44934,21:00:00
9,2023,1,08:30-08:45,60,,09/01/2023,08:30,44935,08:30:00
9,2023,1,08:45-09:00,43,,09/01/2023,08:45,44935,08:45:00
9,2023,1,09:00-09:15,54,,09/01/2023,09:00,44935,09:00:00
9,2023,1,09:15-09:30,69,,09/01/2023,09:15,44935,09:15:00
9,2023,1,09:30-09:45,83,,09/01/2023,09:30,44935,09:30:00
9,2023,1,09:45-10:00,86,,09/01/2023,09:45,44935,09:45:00
9,2023,1,10:00-10:15,112,,09/01/2023,10:00,44935,10:00:00
9,2023,1,10:15-10:30,106,,09/01/2023,10:15,44935,10:15:00
9,2023,1,10:30-10:45,113,,09/01/2023,10:30,44935,10:30:00
9,2023,1,10:45-11:00,125,,09/01/2023,10:45,44935,10:45:00
9,2023,1,11:00-11:15,112,,09/01/2023,11:00,44935,11:00:00
9,2023,1,11:15-11:30,116,,09/01/2023,11:15,44935,11:15:00
9,2023,1,11:30-11:45,129,,09/01/2023,11:30,44935,11:30:00
9,2023,1,11:45-12:00,93,,09/01/2023,11:45,44935,11:45:00
9,2023,1,12:00-12:15,138,,09/01/2023,12:00,44935,12:00:00
9,2023,1,12:15-12:30,115,,09/01/2023,12:15,44935,12:15:00
9,2023,1,12:30-12:45,120,,09/01/2023,12:30,44935,12:30:00
9,2023,1,12:45-13:00,122,,09/01/2023,12:45,44935,12:45:00
9,2023,1,13:00-13:15,116,,09/01/2023,13:00,44935,13:00:00
9,2023,1,13:15-13:30,126,,09/01/2023,13:15,44935,13:15:00
9,2023,1,13:30-13:45,139,,09/01/2023,13:30,44935,13:30:00
9,2023,1,13:45-14:00,264,,09/01/2023,13:45,44935,13:45:00
9,2023,1,14:00-14:15,191,,09/01/2023,14:00,44935,14:00:00
9,2023,1,14:15-14:30,182,,09/01/2023,14:15,44935,14:15:00
9,2023,1,14:30-14:45,154,,09/01/2023,14:30,44935,14:30:00
9,2023,1,14:45-15:00,123,,09/01/2023,14:45,44935,14:45:00
9,2023,1,15:00-15:15,107,,09/01/2023,15:00,44935,15:00:00
9,2023,1,15:15-15:30,125,,09/01/2023,15:15,44935,15:15:00
9,2023,1,15:30-15:45,122,,09/01/2023,15:30,44935,15:30:00
9,2023,1,15:45-16:00,94,,09/01/2023,15:45,44935,15:45:00
9,2023,1,16:00-16:15,91,,09/01/2023,16:00,44935,16:00:00
9,2023,1,16:15-16:30,118,,09/01/2023,16:15,44935,16:15:00
9,2023,1,16:30-16:45,106,,09/01/2023,16:30,44935,16:30:00
9,2023,1,16:45-17:00,96,,09/01/2023,16:45,44935,16:45:00
9,2023,1,17:00-17:15,94,,09/01/2023,17:00,44935,17:00:00
9,2023,1,17:15-17:30,87,,09/01/2023,17:15,44935,17:15:00
9,2023,1,17:30-17:45,77,,09/01/2023,17:30,44935,17:30:00
9,2023,1,17:45-18:00,85,,09/01/2023,17:45,44935,17:45:00
9,2023,1,18:00-18:15,86,,09/01/2023,18:00,44935,18:00:00
9,2023,1,18:15-18:30,72,,09/01/2023,18:15,44935,18:15:00
9,2023,1,18:30-18:45,72,,09/01/2023,18:30,44935,18:30:00
9,2023,1,18:45-19:00,71,,09/01/2023,18:45,44935,18:45:00
9,2023,1,19:00-19:15,66,,09/01/2023,19:00,44935,19:00:00
9,2023,1,19:15-19:30,49,,09/01/2023,19:15,44935,19:15:00
9,2023,1,19:30-19:45,55,,09/01/2023,19:30,44935,19:30:00
9,2023,1,19:45-20:00,49,,09/01/2023,19:45,44935,19:45:00
9,2023,1,20:00-20:15,31,,09/01/2023,20:00,44935,20:00:00
9,2023,1,20:15-20:30,34,,09/01/2023,20:15,44935,20:15:00
9,2023,1,20:30-20:45,23,,09/01/2023,20:30,44935,20:30:00
9,2023,1,20:45-21:00,23,,09/01/2023,20:45,44935,20:45:00
9,2023,1,21:00-21:15,0,,09/01/2023,21:00,44935,21:00:00
10,2023,1,08:30-08:45,46,,10/01/2023,08:30,44936,08:30:00
10,2023,1,08:45-09:00,25,,10/01/2023,08:45,44936,08:45:00
10,2023,1,09:00-09:15,51,,10/01/2023,09:00,44936,09:00:00
10,2023,1,09:15-09:30,53,,10/01/2023,09:15,44936,09:15:00
10,2023,1,09:30-09:45,65,,10/01/2023,09:30,44936,09:30:00
10,2023,1,09:45-10:00,83,,10/01/2023,09:45,44936,09:45:00
10,2023,1,10:00-10:15,92,,10/01/2023,10:00,44936,10:00:00
10,2023,1,10:15-10:30,107,,10/01/2023,10:15,44936,10:15:00
10,2023,1,10:30-10:45,100,,10/01/2023,10:30,44936,10:30:00
10,2023,1,10:45-11:00,116,,10/01/2023,10:45,44936,10:45:00
10,2023,1,11:00-11:15,101,,10/01/2023,11:00,44936,11:00:00
